Home,Visitor,Visitor_Score,Home_Score
Virginia Tech,Old Dominion,0,38
Washington St.,Nevada,7,45
Western Kentucky,Ball St.,21,33
Wyoming,Hawaii,21,28
Alabama,Mississippi,3,66
Arkansas,New Mexico St.,24,42
Army,UTEP,21,35
Auburn,Mississippi St.,10,49
Boston College,Central Mich.,8,28
Bowling Green,Akron,34,23
Central Florida,Memphis,13,40
Cincinnati,Marshall,38,21
Duke,Miami (Fla.),31,6
East Carolina,South Florida,61,31
Florida,Vanderbilt,24,38
Florida Atlantic,Middle Tenn.,20,38
Florida Intl.,Charlotte,29,30
Fresno St.,Nevada,21,41
Georgia Tech,North Carolina,7,33
Hawaii,Colorado St.,51,21
Illinois,Nebraska,28,6
Iowa St.,Texas,17,7
Kansas St.,Baylor,20,33
Kent,Buffalo,27,13
Kentucky,Eastern Mich.,20,24
LSU,Troy St.,24,21
Louisiana Tech,South Alabama,16,34
Louisiana-Monroe,Coastal Carolina,43,51
Massachusetts,Ohio,58,50
Michigan St.,Iowa,10,17
Minnesota,Maryland,31,24
NC St.,Syracuse,25,33
New Mexico,Air Force,38,56
Notre Dame,Miami (Ohio),17,52
Oregon,California,24,45
Oregon St.,Washington,42,7
Penn St.,Indiana,14,45
Pittsburgh,Rice,10,42
Rutgers,Ohio St.,56,0
SMU,Connecticut,28,49
San Diego St.,Northern Ill.,28,34
Southern Miss.,North Texas,43,28
Stanford,Arizona St.,24,34
Temple,Houston,20,13
Tennessee,Georgia,41,0
Texas A&M,South Carolina,17,24
Texas Tech,Oklahoma St.,41,34
Tulsa,Navy,31,21
UCLA,Colorado,23,27
UNLV,San Jose St.,13,41
Utah St.,BYU,24,40
Virginia Tech,Clemson,31,17
Wake Forest,Florida St.,26,19
Washington St.,USC,27,30
Western Mich.,Ball St.,3,55
Wisconsin,Northwestern,24,33
Wyoming,Texas St.,10,45
Akron,Ball St.,3,31
Appalachian St.,New Mexico St.,31,45
Auburn,Mississippi,23,44
BYU,Boise St.,24,7
Boston College,Virginia Tech,23,10
Buffalo,Western Mich.,71,68
Charlotte,Marshall,14,3
Cincinnati,Central Florida,51,23
Clemson,Wake Forest,14,28
Coastal Carolina,Georgia St.,27,21
Colorado,Arizona,45,42
Connecticut,Memphis,70,31
East Carolina,Temple,34,10
Florida,LSU,17,16
Florida St.,Miami (Fla.),24,20
Georgia Southern,Arkansas St.,43,25
Houston,SMU,22,35
Idaho,Louisiana-Lafayette,21,16
Iowa,Illinois,16,45
Kansas,Texas Tech,65,19
Kentucky,Missouri,34,40
Miami (Ohio),Bowling Green,37,29
Michigan,Michigan St.,14,10
Middle Tenn.,Florida Intl.,17,37
NC St.,Louisville,25,39
Navy,Air Force,45,48
Nebraska,Wisconsin,38,17
Nevada,Hawaii,21,35
North Carolina,Notre Dame,33,10
Northern Ill.,Kent,3,24
Northwestern,Penn St.,31,7
Ohio,Central Mich.,26,23
Ohio St.,Maryland,14,62
Oklahoma,Iowa St.,38,31
Old Dominion,Florida Atlantic,58,28
Oregon,Washington St.,33,10
Purdue,Minnesota,17,31
Rice,Army,49,12
San Jose St.,Fresno St.,27,10
South Carolina,Arkansas,22,48
Syracuse,Pittsburgh,24,27
TCU,West Va.,24,31
Texas,Kansas St.,34,40
Texas A&M,Alabama,27,19
Texas St.,Louisiana-Monroe,45,27
Texas-San Antonio,Southern Miss.,31,29
